title,operating_system,ram_memory,cpu_model,cpu_speed,price
HP,Windows 10 Home,8 GB,,4.4 GHz,$585.00
Lenovo,Windows 10 Pro,8 GB,,4.4 GHz,$687.30
HP,Windows 10 Home,16 GB,AMD A Series,3.5 GHz,$152.98
Maxtang,Windows 10 Pro,32 GB,Ryzen 5 2500U,2 GHz,0
FANPEEC,Windows 11 Pro,16 GB,,2 GHz,$496.00
Beelink,Windows 11 Pro,,Ryzen 9,4.6 GHz,$999.00
HP,Windows 10 Home,8 GB,,4.6 GHz,0
HP,Windows 10 Pro,8 GB,Ryzen 5 4600H,3.3 GHz,$699.99
HP,Windows 11 Pro,,AMD Ryzen 7 5700G,3.8 GHz,$809.00
HP,Windows 10 Pro,,AMD A Series,3.5 GHz,$138.98
Skytech Gaming,Windows 10 Home,16 GB,,3.5 GHz,"$1,232.00"
MSI,Windows 10 Pro,8 GB,,3.5 GHz,$659.00
Beelink,Windows 11,,Ryzen 7 4700U,4 GHz,$449.00
COOFUN,Windows 11 Pro,16 GB,AMD Ryzen 7,4 GHz,$382.49
COOFUN,Windows 11 Pro,32 GB,Ryzen 9,4.2 GHz,$829.99
COOFUN,Windows 11 Pro,16 GB,Ryzen 5,4.3 GHz,$549.99
HP,Windows 10,,AMD R Series,4 GHz,$599.99
GMKtec,Windows 11 Pro,16 GB,,4 GHz,$419.00
GZGMET,Windows 10 Pro,4 GB,AMD A Series,1.6 GHz,$140.00
Shinobee,Windows 10 Pro,,Athlon 64 FX,3.5 GHz,$333.00
HP,Windows 10 Pro,,AMD A Series,3.5 GHz,$139.98
Skytech Gaming,Windows 10,16 GB,,3.5 GHz,"$1,199.99"
HP,Windows 10,32 GB,AMD R Series,4 GHz,$669.99
Skytech Gaming,Windows 10,8 GB,,4 GHz,0
HUNSN,Windows 10 Pro,,AMD A Series,1 GHz,$167.99
Beelink,Windows 10 Pro,,Ryzen 5 3550H,3.7 GHz,$748.00
HP,Windows 10 Pro,,AMD A8,1.6 GHz,$166.98
Skytech Gaming,Windows 10,,Ryzen 3 3100,3.6 GHz,$749.99
COOFUN,Windows 11 Pro,32 GB,,3.6 GHz,$764.99
COOFUN,Windows 10,,Ryzen 5,3.7 GHz,$322.99
HP,Windows 10 Pro,16 GB,,3.7 GHz,0
Maxtang,Windows 10 Pro,32 GB,Ryzen 5 2500U,2 GHz,0
Oemgenuine,Windows 10 Pro,,Ryzen 5,3.3 GHz,$799.95
HP,Windows 10 Pro,8 GB,,3.3 GHz,0
WEIDIAN,Windows 11 Pro,32 GB,Ryzen 5 3550H,2.1 GHz,0
Baieyu,Windows 10 Pro,32 GB,Ryzen 7 3700U,2.3 GHz,$727.95
COOFUN,Windows 10 Pro,8 GB,AMD Ryzen 7,4 GHz,$399.99
HP,Windows 10 Pro,16 GB,Ryzen 5 3400G,3.3 GHz,$549.99
Skytech Gaming,Windows 10,16 GB,,3.3 GHz,"$1,154.99"
HP,Windows 10 Home,16 GB,AMD A Series,3.5 GHz,$154.98
HP,Windows 10 Pro,,AMD A Series,2.8 GHz,$203.98
MXZ,Windows 10 Pro,,Ryzen 5 3500U,2.4,$899.00
COOFUN,Windows 10,32 GB,Ryzen 9,4.4 GHz,$609.99
Beelink,Windows 11 Pro,,Ryzen 9,4600 MHz,$849.00
COOFUN,Windows 11 Pro,,AMD Ryzen 7,4.6 GHz,$764.99
COOFUN,Windows 11 Pro,16 GB,Ryzen 5,4.3 GHz,$549.99
HP,Windows 10 Pro,,AMD A Series,3.7 GHz,$142.98
HP,Windows 10 Pro,,AMD A8,1.6 GHz,$168.98
ASUS,,,Ryzen 7 4700U,2,$504.26
HP,Windows 11 Home,8 GB,,2,$680.00
HP,Windows 10 Home,8 GB,,2,$553.78
GZGMET,Windows 10 Pro,16 GB,AMD A Series,1.6 GHz,0
HP,Windows 10 Pro,,AMD A Series,2.8 GHz,$192.98
HP,Windows 10 Pro,,AMD A8,1.6 GHz,$159.98
Maxtang,Linux,8 GB,A4 3020E,1.2 Hz,0
HP,Windows 10 Pro,,AMD A Series,2.8 GHz,$245.98
Skytech Gaming,Windows 10,,Ryzen 5 3600,3.6 GHz,"$1,110.87"
HP,Windows 10 Pro,,AMD A Series,3.7 GHz,$120.98
CHUWI,"Linux, Ubantu, Windows 10 Home, Windows 11",8 GB,,3.7 GHz,$399.00
Beelink,Windows 11,16 GB,Ryzen 7 4700U,4 GHz,$449.00
HP,Windows 10 Pro,,AMD A Series,3.7 GHz,$187.98
HP,Windows 10 Pro,,AMD A8,1.6 GHz,$148.98
Skytech Gaming,Windows 10 Home,8 GB,,1.6 GHz,$703.99
HP,Windows 10 64 Bit-Multi-Language Supports English/Spanish/French,8 GB,AMD A Series,3.6 GHz,$147.98
HP,Windows 11,,Ryzen 5,3.9 GHz,$449.99
Thermaltake,Windows 10 Home,16 GB,,3.9 GHz,"$1,079.99"
ATOPNUC,Windows 11 Pro,16 GB,,3.9 GHz,$439.99
IBUYPOWER,Windows 10 Home,8 GB,,3.9 GHz,$837.66
Lenovo,Windows 10 Pro,8 GB,,3.9 GHz,$699.00
HP,Windows 10 Pro,,AMD A Series,2.8 GHz,$214.98
Skytech Gaming,Windows 10 Home,,Ryzen 7,3.2 GHz,0
ASUS,Windows 10 Home,,AMD R Series,4.2 GHz,$699.00
COOFUN,Windows 10,32 GB,Ryzen 9,4.4 GHz,$609.99
Beelink,Windows 11 Pro,32 GB,Ryzen 9,4.4 GHz,$569.00
COOFUN,Windows 11 Pro,,Ryzen 9,4.2 GHz,$829.99
COOFUN,Windows 11 Pro,16 GB,Ryzen 5,4.3 GHz,$549.99
Thermaltake,Windows 10 Home,16 GB,,4.3 GHz,"$2,449.99"
HP,Windows 10 Pro,,AMD A Series,2.8 GHz,$123.98
HP,Windows 10 Pro,,AMD A Series,3.7 GHz,$165.98
Dell,Windows Embedded Standard,2 GB,,3.7 GHz,$123.35
HP,Windows 10 Pro,,AMD A Series,3.5 GHz,$162.98
Skytech Gaming,Windows 10 Home,16 GB,,3.5 GHz,$799.99
HP,Windows 10 Pro,,AMD A8,1.6 GHz,$178.98
ASUS,Windows 11 Home,,Ryzen 5 3600X,3.8 GHz,$849.00
HP,Windows 11 Pro,,AMD R Series,3.8 GHz,$999.99
MSI,Windows 11 Home,8 GB,,3.8 GHz,$514.44
ASUS,Windows 11 Pro,,Ryzen 7 4700U,2,$672.31
HP,Windows 10 Pro,,AMD A8,1.6 GHz,$188.98
COOFUN,Windows 11 Pro,,AMD Ryzen 7,4.6 GHz,$764.99
COOFUN,Windows 10,16 GB,Ryzen 5,3.7 GHz,$322.99
ASUS,Windows 10 Pro,8 GB,,3.7 GHz,0
Anphurk,Windows 11 Pro,,AMD Ryzen 7,2.3 Hz,$610.00
Skytech Gaming,Windows 10,8 GB,,2.3 Hz,0
ZOTAC,Windows 10 Home,16 GB,,2.3 Hz,"$1,999.99"
Lenovo,Windows 10,256 GB,,2.3 Hz,$389.00
Oemgenuine,Windows 10 Pro,32 GB,Ryzen 5,3.3 GHz,$899.95
MITXPC,None,,Ryzen 3 2200U,2 GHz,$649.95
HP,Windows 10 Pro,,AMD A Series,2.8 GHz,$170.98
HP,Windows 10 Pro,,AMD A Series,1.6 GHz,$183.98
HP,Windows 10 Pro,,AMD A8,1.6 GHz,$176.98
HP,Windows 10 Home,4 GB,,1.6 GHz,0
Beelink,,32 GB,,1.6 GHz,$958.80
Beelink,Windows 11 Pro,32 GB,,1.6 GHz,$849.00
COOFUN,Windows 10,32 GB,Ryzen 9,4.4 GHz,$609.99
COOFUN,Windows 11 Pro,32 GB,Ryzen 9,4.2 GHz,$829.99
COOFUN,Windows 11 Pro,32 GB,,4.2 GHz,$764.99
HP,Windows 10 Pro,,AMD A Series,3.5 GHz,$157.98
Lenovo,Windows 10 Pro,8 GB,,3.5 GHz,0
HP,Windows 10 Pro,,AMD A8,1.6 GHz,$189.98
HP,Windows 10 Pro,,AMD A8,1.6 GHz,$167.98
HP,Windows 10 Home,16 GB,AMD A Series,3.5 GHz,$176.98
EXCaliberPC,Windows 10 Pro,16 GB,Ryzen 7,3.8 GHz,$799.00
Maxtang,Linux,32 GB,Ryzen 5,2 Hz,0
Lenovo,Windows 10 Pro,,,3.5 GHz,$575.99
Skytech Gaming,Windows 10,16 GB,,3.5 GHz,"$1,399.99"
HP,Windows 11 Pro,16 GB,,3.5 GHz,"$1,068.00"
HP,Windows 10 Home,8 GB,,3.5 GHz,$713.00
HP,Windows 10,,Ryzen 5,3.9 GHz,"$1,065.88"
COOFUN,Windows 11 Pro,,Ryzen 5,4.3 GHz,$549.99
COOFUN,Windows 10,,Ryzen 5,3.7 GHz,$322.99
HP,Windows 11 Home,32 GB,Ryzen 3,4 GHz,$749.00
Thermaltake,Windows 10 Home,16 GB,,4 GHz,"$1,536.01"
Skytech Gaming,Windows 10 Home,16 GB,,4 GHz,"$1,699.99"
Maxtang,Linux,8 GB,Ryzen 5 2500U,2 Hz,0
HP,Windows 11 Pro,64 GB,AMD Ryzen 7,3.8 GHz,"$1,049.00"
Corsair,Windows 10 Home,,AMD Ryzen 9 5900X,3.7 GHz,0
HUNSN,Windows 10 Pro,,AMD A Series,1.2 GHz,$260.99
ASUS,Windows 10 Home,16 GB,,1.2 GHz,$999.66
HP,Windows 10 Home,12 GB,,1.2 GHz,0
HP,Windows 11 Home,16 GB,Ryzen 5,3.9 GHz,$948.98
Beelink,,,AMD Ryzen 7,4 GHz,$550.80
Beelink,,32 GB,,4 GHz,$720.80
Beelink,Windows 11 Pro,32 GB,,4 GHz,$849.00
CHUWI,"Linux, Ubantu, Windows 10 Home, Windows 11",8 GB,,4 GHz,$399.00
COOFUN,Windows 11 Pro,32 GB,Ryzen 9,4.2 GHz,$829.99
COOFUN,Windows 11 Pro,32 GB,,4.2 GHz,$764.99
Skytech Gaming,Windows 10,16 GB,,4.2 GHz,$891.47
MSI,Windows 11 Home,8 GB,,4.2 GHz,$599.00
HP,Windows 10 Pro,,AMD A8,1.6 GHz,$188.98
Skytech Gaming,Windows 10 Home,16 GB,,1.6 GHz,$799.99
HP,Windows 10 Home,,AMD A Series,3.5 GHz,$154.98
Dell,Wyse Thin OS Lite 2.1,2 GB,,3.5 GHz,$155.99
WEIDIAN,Windows 11 Pro,16 GB,AMD Ryzen 7,4 GHz,0
Acogedor,Windows 10,8 GB,AMD Ryzen 7,"2.0, 3.6 GHz",$513.85
HP,Windows 10 Pro,,AMD A8,1.6 GHz,$191.98
Dell,Windows Embedded Standard,,,1.5 GHz,$132.00
HP,Windows 11 Home,32 GB,Ryzen 5,3.9 GHz,$899.00
HP,Windows 10 Pro,,AMD A Series,1.6 GHz,$205.98
COOFUN,Windows 11 Pro,16 GB,Ryzen 5,4.3 GHz,$549.99
COOFUN,Windows 10,,Ryzen 5,3.7 GHz,$322.99
HP,Windows 11 Home,16 GB,,3.7 GHz,$949.00
HP,Windows 11 Pro,16 GB,,3.7 GHz,$830.35
HP,Windows 10 Pro,,AMD A Series,1.6 GHz,$161.98
HP,Windows 10 Pro,,AMD A Series,3.7 GHz,$188.98
HP,Windows 10 Pro,,AMD A Series,2.8 GHz,$169.98
HP,Windows 10 Pro,,AMD A8,1.6 GHz,$165.98
HP,Windows 10 Pro,,AMD A8,1.6 GHz,$200.98
HP,Windows 10 Home,16 GB,AMD Ryzen 7,3.8 GHz,0
MITXPC,None,16 GB,V SERIES V160,2 GHz,$824.95
HP,,16 GB,,2 GHz,$917.35
HP,Windows 10 Pro,,AMD A Series,1.6 GHz,$183.98
HP,Windows 10 Pro,,AMD A Series,3.7 GHz,$131.98
COOFUN,Windows 10,32 GB,Ryzen 9,4.4 GHz,$609.99
Beelink,Windows 11,16 GB,Ryzen 7 4700U,4 GHz,$449.00
COOFUN,Windows 11 Pro,32 GB,Ryzen 9,4.2 GHz,$829.99
COOFUN,Windows 11 Pro,16 GB,Ryzen 5,4.3 GHz,$549.99
HP,Windows 10 Pro,,AMD A Series,3.5 GHz,$120.98
EXCaliberPC,Windows 11 Home,,Ryzen 7,3.8 GHz,"$1,029.00"
HP,Windows 10 Pro,8 GB,,3.3 GHz,0
MSI,Windows 11 Home,8 GB,,3.3 GHz,$449.00
EXCaliberPC,Windows 11 Home,16 GB,Ryzen 5,3.9 GHz,$849.00
Beelink,,32 GB,,3.9 GHz,$737.80
HP,Windows 11 Home,32 GB,Ryzen 5,3.9 GHz,"$1,049.00"
HP,Windows 11 Home,,Ryzen 5,3.9 GHz,$789.00
HP,Windows 10 Pro,,AMD A Series,2.8 GHz,$181.98
HP,Windows 10 Pro,,AMD A Series,2.8 GHz,$180.98
HP,Windows 10 Pro,,AMD A Series,2.8 GHz,$224.98
HP,Windows 10 Pro,,AMD A Series,2.8 GHz,$234.98
COOFUN,Windows 11 Pro,32 GB,,2.8 GHz,$764.99
COOFUN,Windows 10,16 GB,Ryzen 5,3.7 GHz,$322.99
HP,Windows 10 Pro,,AMD A Series,2.8 GHz,$192.98
HP,Windows 10 Pro,,AMD A8,1.6 GHz,$187.98
HP,Windows 10 Pro,,AMD A Series,2.8 GHz,$190.98
HP,Windows 10 Pro,,AMD A8,1.6 GHz,$211.98
Acogedor,Windows 10,,,1.6 GHz,$969.30
GZGMET,Windows 10,8 GB,AMD A Series,1.6 GHz,0
Maxtang,Windows 10 Pro,,Ryzen 5 2500U,2 Hz,0
HP,Windows 10 Pro,8 GB,AMD A Series,3.7 GHz,$167.98
HP,Windows 10 Pro,,AMD A Series,3.7 GHz,$189.98
HP,Windows 10 Pro,,AMD A Series,3.7 GHz,$200.98
HP,Windows 10 Pro,,AMD A Series,3.7 GHz,$211.98
HP,Windows 10 Pro,,AMD A Series,3.7 GHz,$178.98
Beelink,Windows 11 Pro,32 GB,,3.7 GHz,$849.00
CHUWI,"Linux, Ubantu, Windows 10 Home, Windows 11",8 GB,,3.7 GHz,$399.00
COOFUN,Windows 11 Pro,32 GB,Ryzen 9,4.2 GHz,$829.99
COOFUN,Windows 11 Pro,,Ryzen 5,4.3 GHz,$549.99
HP,Windows 10 Pro,,AMD A Series,1.6 GHz,$163.98
HP,Windows 10 Pro,,AMD A8,1.6 GHz,$242.98
HP,Windows 10 Pro,,AMD A Series,1.6 GHz,$237.98
HP,Windows 10 Pro,,AMD A8,1.6 GHz,$188.98
HP,Windows 10 Pro,,AMD A8,1.6 GHz,$210.98
HP,Windows 11 Home,16 GB,,1.6 GHz,0
Thermaltake,Windows 10 Home,16 GB,,1.6 GHz,"$7,268.66"
MSI,Windows 10 Pro,8 GB,,1.6 GHz,$653.00
HP,Windows 10 Pro,,AMD A Series,3.7 GHz,$176.98
HP,Windows 10 Pro,,AMD A Series,3.5 GHz,$201.98
Dell,Windows 10,32 GB,,3.5 GHz,0
Skytech Gaming,Windows 10 Home,8 GB,,3.5 GHz,$559.99
COOFUN,Windows 11 Pro,,AMD Ryzen 7,4.6 GHz,$764.99
COOFUN,Windows 10,,Ryzen 5,3.7 GHz,$322.99
HP,Windows 10 Pro,,AMD A Series,3.5 GHz,$195.98
HP,Windows 10 Pro,,AMD A Series,3.5 GHz,$179.98
Dell,Windows 10,32 GB,,3.5 GHz,0
HP,Windows 10 Pro,,Ryzen 5,2.9 GHz,0
HP,Windows 10 64 Bit-Multi-Language Supports English/Spanish/French,8 GB,AMD A Series,3.6 GHz,$120.98
HP,Windows 11 Home,16 GB,Ryzen 3,4 GHz,$599.00
HP,Windows 10 Pro,4 GB,,4 GHz,$423.67
"HP Business Desktop ProDesk 405 G8 Desktop Computer, AMD Ryzen 5 PRO 5650GE, Windows 11 Pro, 8GB RAM, 256GB SSD, Desktop Mini (69D91UT#ABA)",,,,4 GHz,$651.85
HP,Windows 10 Pro,,AMD A Series,3.6 GHz,$192.98
HP,Windows 10 Home,16 GB,AMD R Series,3.9 GHz,0
Lenovo,Windows 10 Pro,16 GB,,3.9 GHz,"$1,106.59"
